Carga 1 (Coulombs),Carga 2 (Coulombs),Distanza (m),Forza (N)
-2.5091976230527507e-06,-9.371416286265317e-06,1.2876429758470327,0.1274641560159682
9.014286128198324e-06,2.728208225275608e-06,0.1774385303401471,7.020238925512476
4.639878836228103e-06,-3.712880378473467e-06,0.3316411410482814,1.4077310798119769
1.973169683940733e-06,1.714138232940547e-07,1.7981228351688876,0.0009401788271939
-6.87962719115127e-06,8.15132947852186e-06,1.216793828722584,0.3404068248141633
-6.880109593275947e-06,-5.014155417022501e-06,0.0283021327170929,387.073753850537
-8.83832775663601e-06,-1.7923415392874057e-06,0.2119283703034039,3.1699439209868827
7.3235229154987055e-06,5.111022770860974e-06,1.330368520525031,0.1900740568259536
2.0223002348641768e-06,-5.424036690167552e-06,0.0200725518539751,244.6819749545841
4.16145155592091e-06,-8.460401803424141e-06,0.3300080223208223,2.9055325218714936
-9.588310114083952e-06,-4.20497094172464e-06,1.1019802408395063,0.2983983102083052
9.398197043239888e-06,-6.7755742549199125e-06,1.3868714434084597,0.2975480764937486
6.648852816008435e-06,8.593953046851462e-06,1.307402906410175,0.3004413515392186
-5.753217786434477e-06,6.162407591288338e-06,0.4562959258265139,1.5304070425729794
-6.363500655857988e-06,2.66807513020847e-06,1.4272366504815963,0.0749102199361248
-6.331909802931324e-06,7.429211803754356e-06,0.4821256841186321,1.818845571538976
-3.915155140809246e-06,6.073441537982289e-06,0.6575453993369428,0.494277962529683
4.951286326447575e-07,-6.268598822279284e-06,1.495517896184868,0.0124722323553501
-1.3610996271576851e-06,7.851179969799556e-06,1.302769469103957,0.0565885553217097
-4.175417196039162e-06,7.868448383130151e-07,1.699954586883414,0.0102177021755408
2.23705789444759e-06,6.1488031032812525e-06,1.3186496556776832,0.0710964411502407
-7.210122786959164e-06,7.921825998469864e-06,1.1409341206375885,0.3943535243882928
-4.157107029295637e-06,-3.6399305005627223e-06,0.196412787977904,3.525199341823632
-2.672763134126166e-06,-7.798961509446466e-06,0.7417544480882727,0.3404989947168846
-8.786003156592812e-07,-5.441296749161167e-06,0.5377527116866336,0.1485824282650795
5.703519227860273e-06,-1.457844227474874e-06,0.4955393903243763,0.3043242571431773
-6.006524356832806e-06,6.360295318449862e-06,1.9462910039573664,0.0906408305661796
2.846887682722321e-07,7.214611665126871e-06,0.7922644720868532,0.0294091067857096
1.8482913772408488e-06,-9.860957389376187e-06,1.7851726448024554,0.0514005748913954
-9.070991745600046e-06,2.1494605155131402e-07,1.2659658657345532,0.010934002151208
2.1508970380287674e-06,-1.6517799370244204e-06,1.5916744940478804,0.0126038201611207
-6.5895175262541705e-06,-5.557843790585396e-06,1.0102478152793324,0.3225098752275664
-8.698968140294411e-06,-7.602692653326344e-06,1.1580387304064546,0.4432287351982593
8.977710745066667e-06,-3.2476965719274407e-06,0.9901102106995392,0.267308568635055
9.312640661491187e-06,8.858194078250386e-06,0.3985335457181085,4.667960516694044
6.167946962329222e-06,-3.535941359584896e-06,1.4476797093703957,0.0935275619076891
